#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-10-20 13:48:16.292
#Start: 1000 Hz
#Stop: 10000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
1000,-0.07871980186917212
1011.579454259899,-0.08031156814642801
1023.292992280754,-0.08151129841710901
1035.142166679344,-0.08306872708480932
1047.1285480509,-0.08463954634563259
1059.253725177289,-0.08558222915512941
1071.519305237606,-0.08732300993019063
1083.926914021204,-0.08904999213001169
1096.478196143185,-0.09057662093623159
1109.174815262401,-0.09223419496069915
1122.018454301964,-0.09437521340354291
1135.010815672315,-0.09595445271406197
1148.153621496883,-0.09760879217852082
1161.448613840343,-0.09869503495449994
1174.89755493953,-0.1008150773833643
1188.502227437018,-0.1023611386168369
1202.264434617413,-0.1041670127074711
1216.186000646368,-0.1067004656442989
1230.268770812381,-0.1091131708880284
1244.514611771385,-0.111180580872726
1258.925411794167,-0.1130581809455566
1273.503081016662,-0.1154186768546757
1288.249551693134,-0.1184418552716799
1303.166778452299,-0.1205489590162551
1318.256738556407,-0.1229659641435779
1333.521432163324,-0.1254168889970583
1348.962882591654,-0.1281394959194919
1364.583136588925,-0.1305163017132613
1380.384264602885,-0.132602213322276
1396.368361055938,-0.135786855792617
1412.537544622754,-0.1381990537064277
1428.893958511103,-0.1414516869073791
1445.439770745928,-0.1432893811122816
1462.177174456718,-0.145998833938159
1479.108388168208,-0.147887976847301
1496.235656094433,-0.151382050481264
1513.561248436208,-0.1544472013354923
1531.08746168203,-0.156975624222202
1548.816618912481,-0.1606882700561128
1566.751070108149,-0.1646488318428528
1584.893192461113,-0.16768427217229
1603.245390690041,-0.1721744048836987
1621.81009735893,-0.1755279250837297
1640.589773199539,-0.1790637481112085
1659.586907437561,-0.1839352913502263
1678.80401812256,-0.1884700055668526
1698.243652461744,-0.1927507249133265
1717.908387157588,-0.1977437061561787
1737.800828749375,-0.2016994083261942
1757.923613958693,-0.2072278588358736
1778.279410038923,-0.2121594459465889
1798.870915128788,-0.2177858696794856
1819.700858609984,-0.2234946889278164
1840.772001468956,-0.2283843282512597
1862.087136662867,-0.2341866128670031
1883.649089489801,-0.24059967208663
1905.460717963247,-0.2470632611058932
1927.524913190936,-0.2530150383776306
1949.844599758045,-0.2597732001993084
1972.422736114853,-0.2656624850172408
1995.26231496888,-0.2738960853866556
2018.366363681561,-0.2802862109710502
2041.73794466953,-0.2882363083832074
2065.380155810529,-0.2957478746432619
2089.29613085404,-0.3038622266458337
2113.489039836646,-0.3112176517388786
2137.962089502233,-0.319369934682872
2162.71852372702,-0.329038716622141
2187.761623949553,-0.3359265104981728
2213.094709605637,-0.3450517533056441
2238.721138568339,-0.355193813679922
2264.644307593059,-0.3642921262550963
2290.867652767773,-0.3752245404823943
2317.394649968478,-0.3854152908556031
2344.228815319922,-0.3950989021989765
2371.373705661655,-0.4085849179297814
2398.83291901949,-0.4201056046366275
2426.610095082415,-0.4326376425138506
2454.708915685031,-0.4444986109620513
2483.133105295571,-0.4586833711678798
2511.88643150958,-0.473540993154866
2540.972705549305,-0.4873976062512009
2570.395782768863,-0.5036724583291106
2600.159563165272,-0.5198530415860951
2630.267991895381,-0.5379545657712864
2660.72505979881,-0.5571476299690106
2691.534803926916,-0.5769235984321703
2722.701308077913,-0.5980538174520479
2754.228703338166,-0.621855744330079
2786.121168629771,-0.6451528754165257
2818.382931264454,-0.6717107062866906
2851.01826750391,-0.7010652747047736
2884.031503126605,-0.7337666923169381
2917.427014001168,-0.7674212726859304
2951.209226666385,-0.8038144302180893
2985.382618917959,-0.8441058688154137
3019.951720402016,-0.8901837945430353
3054.921113215513,-0.9381790109962496
3090.295432513591,-0.9934979507955455
3126.079367123955,-1.052592773540566
3162.277660168379,-1.120760334353418
3198.895109691398,-1.193128797706671
3235.936569296283,-1.274542287605706
3273.406948788382,-1.365499955243249
3311.311214825911,-1.465846083868292
3349.654391578277,-1.577306278651111
3388.441561392026,-1.698839190691312
3427.677865464504,-1.834369563001029
3467.368504525316,-1.982354827673336
3507.51873952568,-2.146878424154251
3548.133892335755,-2.326643371365831
3589.219346450053,-2.524463282299759
3630.780547701014,-2.738904571264115
3672.823004980846,-2.972283306385393
3715.352290971725,-3.226493607976833
3758.374042884441,-3.499401991458877
3801.893963205611,-3.791865225335873
3845.917820453536,-4.110065239916984
3890.451449942806,-4.444729693173918
3935.500754557774,-4.801180974157106
3981.071705534972,-5.181919690514301
4027.170343254591,-5.57843520387709
4073.802778041127,-5.99623255014356
4120.975190973302,-6.434932535786162
4168.693834703354,-6.889128021593137
4216.965034285822,-7.362412917326985
4265.795188015927,-7.850715197746814
4315.190768277653,-8.355657840462429
4365.158322401659,-8.872617073659086
4415.704473533126,-9.405398040957468
4466.835921509632,-9.951648868602867
4518.559443749224,-10.50811526822727
4570.88189614875,-11.07527489091073
4623.810213992603,-11.64875512110807
4677.351412871983,-12.22713121824238
4731.512589614806,-12.84058770236861
4786.300923226384,-13.48148764450901
4841.723675840994,-14.10501825955507
4897.788193684461,-14.72019019073141
4954.501908047902,-15.33831689508065
