#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-10-20 13:47:58.612
#Start: 1000 Hz
#Stop: 10000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
1000,-0.07715278766124033
1011.579454259899,-0.07895659720617909
1023.292992280754,-0.08149035225362049
1035.142166679344,-0.08319428615191164
1047.1285480509,-0.08478750901715512
1059.253725177289,-0.08619938629476895
1071.519305237606,-0.08756097416653486
1083.926914021204,-0.09092545656189463
1096.478196143185,-0.09227935753163997
1109.174815262401,-0.09342958633025863
1122.018454301964,-0.09586148178470275
1135.010815672315,-0.09803241122638577
1148.153621496883,-0.09888985819167384
1161.448613840343,-0.1018405818147371
1174.89755493953,-0.1047238191529286
1188.502227437018,-0.1070978991787556
1202.264434617413,-0.1081682293338052
1216.186000646368,-0.1111772120671782
1230.268770812381,-0.1140017701779886
1244.514611771385,-0.1150698283184677
1258.925411794167,-0.119415085366164
1273.503081016662,-0.1216870094263754
1288.249551693134,-0.1238902617549766
1303.166778452299,-0.1271912133218201
1318.256738556407,-0.1292269051486465
1333.521432163324,-0.1329025022244249
1348.962882591654,-0.135413298944584
1364.583136588925,-0.138351143388324
1380.384264602885,-0.1402986287692095
1396.368361055938,-0.1427563381874586
1412.537544622754,-0.1426999914250279
1428.893958511103,-0.1448267904035017
1445.439770745928,-0.1462738708697219
1462.177174456718,-0.1482712730370907
1479.108388168208,-0.151997324873508
1496.235656094433,-0.154733826416694
1513.561248436208,-0.1568401013608143
1531.08746168203,-0.1616261937825918
1548.816618912481,-0.1632559962214828
1566.751070108149,-0.1689092882278403
1584.893192461113,-0.1712687298781354
1603.245390690041,-0.1756717094353835
1621.81009735893,-0.180042709150097
1640.589773199539,-0.1818496403107986
1659.586907437561,-0.1878931248503326
1678.80401812256,-0.191749654097405
1698.243652461744,-0.1960135470249137
1717.908387157588,-0.2000451983683176
1737.800828749375,-0.2056173516239559
1757.923613958693,-0.2074928568914247
1778.279410038923,-0.2115544935454997
1798.870915128788,-0.2155863560037584
1819.700858609984,-0.2193591862713282
1840.772001468956,-0.2238699807130712
1862.087136662867,-0.232235967985055
1883.649089489801,-0.2355041291887224
1905.460717963247,-0.2432238994555302
1927.524913190936,-0.2465491079330273
1949.844599758045,-0.2535485007931136
1972.422736114853,-0.2578188589781063
1995.26231496888,-0.2655249149823585
2018.366363681561,-0.2717431619585481
2041.73794466953,-0.2775826814802852
2065.380155810529,-0.2831628270606084
2089.29613085404,-0.2886954206020813
2113.489039836646,-0.2930064636357237
2137.962089502233,-0.2986331974947672
2162.71852372702,-0.3040506165356752
2187.761623949553,-0.3086702225282688
2213.094709605637,-0.3133296904348227
2238.721138568339,-0.3177883800179937
2264.644307593059,-0.3245281588051219
2290.867652767773,-0.3304693014160243
2317.394649968478,-0.3360588713487621
2344.228815319922,-0.3467237262143575
2371.373705661655,-0.3537839759582567
2398.83291901949,-0.362528464833238
2426.610095082415,-0.369027590597816
2454.708915685031,-0.3788794718498822
2483.133105295571,-0.3903869137022642
2511.88643150958,-0.4008214799714679
2540.972705549305,-0.4135977967195675
2570.395782768863,-0.4223674399740709
2600.159563165272,-0.4396628246917303
2630.267991895381,-0.4489307679685833
2660.72505979881,-0.4680803577658296
2691.534803926916,-0.4841627859801974
2722.701308077913,-0.4997559198199151
2754.228703338166,-0.5193371937088376
2786.121168629771,-0.5419018232848078
2818.382931264454,-0.5632616897345909
2851.01826750391,-0.5881882056529582
2884.031503126605,-0.6173683579206112
